"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,105.0,106.0,106.0,100.0,127.0,140.0
mean,2.0976190476190477,2.0919811320754715,2.8349056603773586,1.065,1.7244094488188977,3.9964285714285714
std,1.7453562143637942,1.9427292632059676,2.466172760828683,0.9876893757808186,2.2431188086571074,4.436298293489527
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.0625,0.23750000000000004,0.07500000000000018,0.25
25%,0.75,0.75,0.8125,0.25,0.5,1.0
50%,1.75,1.625,2.375,0.75,1.25,2.75
68%,2.5,2.25,3.5,1.25,1.75,4.75
90%,4.150000000000002,4.25,6.0,2.25,3.3500000000000014,9.025000000000002
95%,5.199999999999999,6.4375,7.375,2.5124999999999993,4.5,12.274999999999991
99%,8.409999999999986,8.2375,8.9875,4.765000000000008,12.124999999999968,19.702499999999922
99.7%,9.532000000000004,9.962500000000006,12.596250000000012,5.804500000000004,16.549,27.142749999999985
max,10.0,10.75,14.25,6.25,18.25,31.0
