"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,82.0,83.0,83.0,77.0,97.0,109.0
mean,0.5022866146341446,0.5768071903614481,0.7522590650602392,0.2889610077922096,0.3460051793814418,0.8457568366972503
std,0.5369672324218574,0.647853861374623,0.9353861135061179,0.4915025200735421,0.32489259742335225,0.8683847741567041
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0625,0.006250000000000033,0.0625,0.0,0.0,0.0625
25%,0.1875,0.15624960000002375,0.25,0.125,0.125,0.1875
50%,0.3125007999999525,0.375,0.5,0.1875,0.25,0.625
68%,0.5625,0.6875,0.8124998080000114,0.25,0.4374994240000342,0.9024996480000217
90%,1.0562500000000004,1.2374999999999998,1.6125007999999514,0.5249996800000194,0.6500000000000004,1.8250000000000002
95%,1.3093742400000452,1.25,2.1187499999999995,0.75,0.8125,2.5999999999999996
99%,2.6512499999999974,3.721249856000007,4.7824999999999935,1.892499999999985,1.1175000319999873,3.8875000639999975
99.7%,3.2891250000000056,3.8288743968000367,5.284750000000004,3.4552500000000164,2.041500569599971,4.571250000000002
max,3.5625,3.8749992000000475,5.5,4.125,2.4375007999999525,4.875
