"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,55.0,55.0,69.0,62.0,62.0,73.0
mean,2.409090909090909,1.8681818181818182,1.2427536231884058,0.842741935483871,1.7056451612903225,3.6780821917808217
std,1.9301240343249415,2.098199484663238,1.016383270775193,1.5171383430600776,1.4887034968500545,3.1098185270090055
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.10000000000000009,0.0,0.012500000000000067,0.5
25%,0.75,0.5,0.5,0.25,0.75,1.25
50%,2.0,1.5,1.0,0.5,1.25,3.25
68%,3.110000000000003,2.0,1.75,0.75,1.870000000000001,4.74
90%,5.5,3.6500000000000004,2.5,1.4749999999999996,3.5,7.25
95%,5.75,4.499999999999993,3.0,2.0,4.487499999999999,8.24999999999999
99%,6.460000000000001,9.625000000000005,3.7199999999999847,6.467500000000005,6.75,13.850000000000001
99.7%,6.838000000000001,11.987500000000006,4.791000000000015,9.990250000000001,6.75,14.480000000000008
max,7.0,13.0,5.25,11.5,6.75,14.75
