"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,82.0,83.0,83.0,77.0,99.0,110.0
mean,2.725682700552594,2.9879518072289155,3.575301204819277,1.6331422483766234,2.167929292929293,5.038654119318182
std,1.427945621191252,1.6237817264676027,2.264598622353282,1.3109094989030516,1.7616378351682942,3.090182622418448
min,0.875,0.5,0.5,0.375,0.75,0.875
5%,1.25,1.1375000000000002,1.125,0.625,0.875,1.25
25%,1.625,1.875,2.0,0.875,1.25,2.75
50%,2.375,2.625,2.875,1.125,1.5,4.625
68%,2.875,3.125,4.095000000000001,1.4600000000000009,2.0,5.530000000000001
90%,4.837500000000002,5.85,6.774999999999999,3.625,4.25,8.287500000000003
95%,5.61875,6.687499999999995,7.487499999999999,3.875,5.549999999999997,11.218749999999991
99%,6.797499999999999,6.987499999999995,10.962499999999986,6.60499999999999,7.609999999999978,15.614999999999995
99.7%,6.939250000000001,7.346250000000003,12.03875000000001,7.669000000000011,11.383000000000017,16.002375
max,7.0,7.5,12.5,8.125,13.0,16.125
