"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,90.0,92.0,92.0,85.0,109.0,121.0
mean,4.288888888888889,4.345108695652174,5.157608695652174,2.1941176470588237,3.302752293577982,7.9690082644628095
std,2.0744266539388145,2.0827135166534614,2.664045659100029,1.0602226788988909,2.7058906494150707,4.651004623547956
min,1.75,0.75,1.0,0.75,1.25,1.5
5%,2.0,1.75,2.0,1.05,1.5,2.25
25%,3.0,3.0,3.25,1.5,2.0,4.75
50%,3.875,4.0,4.5,2.0,2.75,7.25
68%,4.75,4.720000000000001,5.970000000000001,2.25,3.25,9.0
90%,6.025000000000002,6.75,8.75,3.75,5.050000000000001,13.25
95%,6.75,8.812500000000004,10.25,3.9499999999999993,6.0,17.0
99%,11.772499999999997,10.5225,13.452500000000008,5.109999999999992,14.330000000000009,23.65
99.7%,14.73175000000002,10.681750000000001,14.885750000000009,6.4330000000000105,20.496000000000016,27.430000000000003
max,16.0,10.75,15.5,7.0,23.25,29.5
