"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,90.0,92.0,92.0,86.0,109.0,121.0
mean,4.288888888888889,4.345108695652174,5.217391304347826,2.183139534883721,3.302752293577982,8.014462809917354
std,2.0744266539388145,2.0827135166534614,2.835755173783139,1.0588731653512413,2.7058906494150707,4.884211118562414
min,1.75,0.75,1.0,0.75,1.25,1.5
5%,2.0,1.75,2.0,1.0625,1.5,2.25
25%,3.0,3.0,3.25,1.5,2.0,4.75
50%,3.875,4.0,4.5,1.875,2.75,7.25
68%,4.75,4.720000000000001,5.970000000000001,2.25,3.25,9.0
90%,6.025000000000002,6.75,8.75,3.75,5.050000000000001,13.25
95%,6.75,8.812500000000004,10.3625,3.9375,6.0,17.0
99%,11.772499999999997,10.5225,15.5225,5.087500000000013,14.330000000000009,23.65
99.7%,14.73175000000002,10.681750000000001,15.681750000000001,6.42625000000001,20.496000000000016,30.950000000000006
max,16.0,10.75,15.75,7.0,23.25,35.0
