"(Vol Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,84.0,84.0,84.0,78.0,100.0,112.0
mean,1.2016543052827404,1.3958333523809512,1.6086309523809523,0.7516025128205158,1.0856249280000043,2.24609372857143
std,1.1258012243278879,1.2599877342107602,1.4425206718342105,1.0233165655879406,1.3487699893034146,1.8181176753729265
min,0.3124992000000475,0.25,0.1875,0.1875,0.3125,0.375
5%,0.375,0.321875,0.446875,0.25,0.375,0.5
25%,0.625,0.6875,0.75,0.375,0.4375,1.1093751999999881
50%,0.84375,0.9375007999999525,1.125,0.43750039999997625,0.5625,1.75
68%,1.0625007999999525,1.1875,1.5,0.5625002879999829,0.8125,2.2800000000000002
90%,2.0875000000000004,3.10625,4.3187500000000005,0.9562499999999998,2.6312500000000005,4.80625
95%,4.2812499999999964,4.428125,5.221874999999999,2.7124999999999915,4.456249999999999,6.218749999999993
99%,5.39625,5.585000000000001,5.909375000000002,5.422500000000003,6.080000000000009,8.479375000000001
99.7%,5.468875000000001,5.875500000000002,6.4540625000000045,5.826750000000004,7.292750000000005,8.583375
max,5.5,6.0,6.6875,6.0,7.8125,8.625
