"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,64.0,64.0,64.0,58.0,74.0,86.0
mean,8.23443794250488,8.75,9.8515625,4.344827586206897,6.047297297297297,14.866279069767442
std,3.641616572429601,4.441864330453907,4.182047504436682,1.6601809681311699,5.9404400688647145,7.777578792538524
min,3.5,2.0,2.0,1.5,2.5,2.5
5%,4.075,3.075,5.0,2.425,2.5,4.125
25%,6.0,6.0,7.0,3.125,3.625,9.625
50%,7.5,8.0,9.0,4.0,5.0,15.0
68%,9.0,9.920000000000002,10.420000000000002,4.5,6.0,17.400000000000002
90%,12.0,15.050000000000004,15.0,6.650000000000002,8.350000000000001,23.0
95%,13.774999999999991,16.77499999999999,17.424999999999997,7.649999999999999,11.199999999999989,28.125
99%,21.14499999999998,21.95999999999998,19.349999999999987,8.93,27.369999999999877,34.7000000000001
99.7%,24.8935,25.488,21.555,9.329,43.21100000000018,45.41000000000008
max,26.5,27.0,22.5,9.5,50.0,50.0
