"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,81.0,81.0,81.0,75.0,97.0,109.0
mean,8.432198230131167,8.61111111111111,10.364197530864198,4.54,6.288659793814433,15.156000259819379
std,3.4174869893165307,3.6133433271694515,4.718985819060471,2.106553480823017,5.364735864278017,7.84178450743214
min,3.5,2.0,2.0,1.5,2.5,2.5
5%,4.5,3.5,5.0,2.35,2.5,4.2
25%,6.004028320312273,6.0,7.0,3.0,4.0,9.5
50%,8.0,8.0,9.0,4.0,5.0,15.0
68%,9.5,10.5,12.200000000000003,5.0,6.5,18.0
90%,12.0,13.0,17.0,7.5,9.5,24.300000000000004
95%,13.5,15.5,17.5,8.799999999999997,11.699999999999989,28.099999999999994
99%,19.700000000000024,18.200000000000003,23.800000000000004,10.52000000000001,20.239999999999753,35.38
99.7%,24.460000000000043,18.760000000000005,24.640000000000008,11.556000000000012,41.0720000000001,45.30200000000003
max,26.5,19.0,25.0,12.0,50.0,50.0
