"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,80.0,81.0,81.0,75.0,97.0,108.0
mean,4.14375,3.808641975308642,5.271604938271605,2.02,2.9381443298969074,7.180555555555555
std,3.2288197377268024,3.3265672070042487,4.145064371270403,1.554070505200821,3.402861641905514,6.380994829615232
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.5,0.3500000000000001,0.0,0.5
25%,1.5,1.5,1.5,1.0,1.0,2.0
50%,3.5,3.0,4.5,2.0,2.0,5.0
68%,5.360000000000003,4.200000000000003,7.0,2.5,3.0,9.260000000000005
90%,7.550000000000004,8.0,10.5,4.0,5.700000000000003,16.65
95%,10.0,9.5,12.5,4.5,7.5,19.799999999999983
99%,15.104999999999997,14.5,16.700000000000003,7.260000000000005,11.69999999999986,26.684999999999967
99.7%,15.381500000000003,14.5,17.260000000000005,7.778000000000006,23.460000000000058,28.358000000000004
max,15.5,14.5,17.5,8.0,28.5,29.0
